Course,Provider,Type,Rating,Enrollment,Difficulty
Project: Analyze Box Office Data with Plotly and Python,Rhyme,NEW,None,None,None
Project: Video Basics with OpenCV and Python,Rhyme,NEW,None,None,None
Project: Clustering Geolocation Data Intelligently in Python,Rhyme,NEW,None,None,None
Project: Linear Regression with Python,Rhyme,NEW,None,None,None
Project: Traffic Sign Classification Using Deep Learning in Python/Keras,Rhyme,NEW,None,None,None
Project: Image Denoising Using AutoEncoders in Keras and Python,Rhyme,NEW,None,None,None
"Project: Support Vector Machines in Python, From Start to Finish",Rhyme,NEW,None,None,None
Introduction to Data Science,IBM,SPECIALIZATION,4.6,260k,Beginner
Applied Data Science,IBM,SPECIALIZATION,4.6,180k,Beginner
Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,130k,Beginner
Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,540k,Intermediate
Data Science Methodology,IBM,COURSE,4.6,72k,Beginner
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,26k,Beginner
Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,120k,Beginner
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,30k,Intermediate
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,81k,Beginner
Applied Data Science Capstone,IBM,COURSE,4.7,33k,Intermediate
Machine Learning for All,University of London,COURSE,4.6,4.6k,Beginner
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,100k,Beginner
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,24k,Advanced
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,210k,Mixed
Fundamentals of Scalable Data Science,IBM,COURSE,4.3,25k,Beginner
Scalable Machine Learning on Big Data using Apache Spark,IBM,COURSE,4,7.2k,Intermediate
How Google does Machine Learning,Google Cloud,COURSE,4.6,56k,Intermediate
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,COURSE,4,35k,Intermediate
Введение в машинное обучение,National Research University Higher School of Economics,COURSE,4.6,89k,Mixed
Introduction to Git and GitHub,Google,COURSE,4.8,8.5k,Beginner
Deep Neural Networks with PyTorch,IBM,COURSE,4.4,7.5k,Intermediate
Introduction to Deep Learning & Neural Networks with Keras,IBM,COURSE,4.7,6.3k,Intermediate
Introduction to MongoDB,MongoDB Inc.,COURSE,4.4,23k,Intermediate
Introduction to Machine Learning,Duke University,COURSE,4.6,14k,Intermediate
Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,COURSE,4.6,6.7k,Intermediate
Introduction to Deep Learning,National Research University Higher School of Economics,COURSE,4.6,61k,Advanced
Using Machine Learning in Trading and Finance,Google Cloud,COURSE,3.9,4.3k,Intermediate
Advanced Machine Learning and Signal Processing,IBM,COURSE,4.5,14k,Advanced
Natural Language Processing,National Research University Higher School of Economics,COURSE,4.5,54k,Advanced
Applied AI with DeepLearning,IBM,COURSE,4.4,31k,Advanced
Intro to TensorFlow,Google Cloud,COURSE,4.5,18k,Intermediate
Machine Learning: Regression,University of Washington,COURSE,4.8,100k,Mixed
Competitive Programmer's Core Skills,Saint Petersburg State University,COURSE,4.6,16k,Intermediate
End-to-End Machine Learning with TensorFlow on GCP,Google Cloud,COURSE,4.5,23k,Advanced
AI Capstone Project with Deep Learning,IBM,COURSE,4.3,2.3k,Advanced
Learn to Program: Crafting Quality Code,University of Toronto,COURSE,4.6,40k,Mixed
Basic Data Processing and Visualization,University of California San Diego,COURSE,4.3,5.1k,Intermediate
Data Management and Visualization,Wesleyan University,COURSE,4.4,50k,Mixed
Fundamentals of Machine Learning in Finance,New York University Tandon School of Engineering,COURSE,3.8,12k,Intermediate
Построение выводов по данным,Yandex,COURSE,4.7,16k,Advanced
Data Analytics Foundations for Accountancy I,University of Illinois at Urbana-Champaign,COURSE,4.5,4k,Mixed
Введение в науку о данных (An Introduction to Data Science),Saint Petersburg State University,COURSE,3.8,4.7k,Mixed
Advanced Algorithms and Complexity,National Research University Higher School of Economics,COURSE,4.6,37k,Advanced
Overview of Advanced Methods of Reinforcement Learning in Finance,New York University Tandon School of Engineering,COURSE,3.8,5.7k,Advanced
Machine Learning Algorithms: Supervised Learning Tip to Tail,Alberta Machine Intelligence Institute,COURSE,4.7,1.8k,Mixed
Algorithmic Thinking (Part 1),Rice University,COURSE,4.7,37k,Intermediate
Data Analysis Tools,Wesleyan University,COURSE,4.5,34k,Mixed
Audio Signal Processing for Music Applications,Universitat Pompeu Fabra of Barcelona,COURSE,4.8,35k,Intermediate
Master of Machine Learning and Data Science,Imperial College London,DEGREE,None,None,None
Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,280k,Beginner
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,85k,Beginner
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,COURSE,4.8,2.1m,Mixed
Ruby on Rails Web Development,Johns Hopkins University,SPECIALIZATION,4.8,290k,Intermediate
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,120k,Intermediate
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,3.9,11k,Intermediate
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,200k,Mixed
Data Structures,National Research University Higher School of Economics,COURSE,4.7,110k,Intermediate
How to Win a Data Science Competition: Learn from Top Kagglers,National Research University Higher School of Economics,COURSE,4.7,57k,Advanced
Interactive Computer Graphics,The University of Tokyo,COURSE,4.3,42k,Intermediate
Getting started with TensorFlow 2,Imperial College London,COURSE,None,None,None
Project: Data Visualization with Plotly Express,Rhyme,NEW,None,None,None
Project: Custom Prediction Routine on Google AI Platform,Rhyme,NEW,None,None,None
Google Cloud Platform Big Data and Machine Learning Fundamentals auf Deutsch,Google Cloud,COURSE,None,None,None
Networks Illustrated: Principles without Calculus,Princeton University,COURSE,4.4,12k,Beginner
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,18k,Intermediate
Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,74k,Intermediate
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,48k,Beginner
What is Data Science?,IBM,COURSE,4.7,210k,Beginner
Open Source tools for Data Science,IBM,COURSE,4.6,96k,Beginner
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,240k,Beginner
Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,28k,Advanced
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,240k,Beginner
Bioinformatics,University of California San Diego,SPECIALIZATION,4.6,53k,Beginner
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,64k,Beginner
Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,200k,Beginner
Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,220k,Intermediate
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,38k,Intermediate
Databases and SQL for Data Science,IBM,COURSE,4.7,95k,Beginner
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,18k,Intermediate
IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.5,2.7k,Advanced
Robotics,University of Pennsylvania,SPECIALIZATION,4.4,110k,Beginner
Sequence Models,deeplearning.ai,COURSE,4.8,170k,Intermediate
Machine Learning and Reinforcement Learning in Finance,New York University Tandon School of Engineering,SPECIALIZATION,3.7,27k,Intermediate
Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,110k,Intermediate
"Sequences, Time Series and Prediction",deeplearning.ai,COURSE,4.6,24k,Intermediate
Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,COURSE,4.8,18k,Intermediate
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,33k,Beginner
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,44k,Beginner
Algorithmic Toolbox,National Research University Higher School of Economics,COURSE,4.7,190k,Intermediate
Computational Neuroscience,University of Washington,COURSE,4.7,64k,Beginner
Digital Signal Processing,École Polytechnique Fédérale de Lausanne,COURSE,4.7,64k,Intermediate
Machine Learning: Algorithms in the Real World,Alberta Machine Intelligence Institute,SPECIALIZATION,4.6,5.5k,Intermediate
Discrete Optimization,The University of Melbourne,COURSE,4.9,37k,Intermediate
Data Science at Scale,University of Washington,SPECIALIZATION,4.2,72k,Intermediate
Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,3.1k,Intermediate
Data-driven Astronomy,The University of Sydney,COURSE,4.8,13k,Intermediate
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4,30k,Intermediate
Mathematical Thinking in Computer Science,National Research University Higher School of Economics,COURSE,4.4,41k,Beginner
Finding Hidden Messages in DNA (Bioinformatics I),University of California San Diego,COURSE,4.7,41k,Beginner
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.6,11k,Beginner
Social Media Data Analytics,Rutgers the State University of New Jersey,COURSE,4.1,21k,Intermediate
Data Engineering on Google Cloud Platform en Español,Google Cloud,SPECIALIZATION,4.6,8.5k,Intermediate
Hadoop Platform and Application Framework,University of California San Diego,COURSE,3.9,130k,Mixed
Troubleshooting and Debugging Techniques,Google,COURSE,4.6,4.4k,Beginner
Introducción a la inteligencia artificial,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,5.4k,Intermediate
"Modern Robotics, Course 1:  Foundations of Robot Motion",Northwestern University,COURSE,4.7,16k,Intermediate
Обучение на размеченных данных,E-Learning Development Fund,COURSE,4.8,25k,Intermediate
Guided Tour of Machine Learning in Finance,New York University Tandon School of Engineering,COURSE,3.8,19k,Intermediate
Reinforcement Learning for Trading Strategies,Google Cloud,COURSE,3.8,3.1k,Intermediate
Configuration Management and the Cloud,Google,COURSE,4.7,3.5k,Beginner
AI Workflow: Business Priorities and Data Ingestion,IBM,COURSE,None,None,None
Building Deep Learning Models with TensorFlow,IBM,COURSE,4.3,3.7k,Intermediate
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,2.6k,Intermediate
Machine Learning with TensorFlow on Google Cloud Platform en Español,Google Cloud,SPECIALIZATION,4.5,2.2k,Intermediate
Discrete Math and Analyzing Social Graphs,National Research University Higher School of Economics,COURSE,4.7,4.3k,Mixed
Машинное обучение в финансах,Sberbank Corporate University,COURSE,4.5,3.8k,Intermediate
Algorithms for DNA Sequencing,Johns Hopkins University,COURSE,4.8,19k,Mixed
機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,National Taiwan University,COURSE,4.9,29k,Beginner
Building AI Applications with Watson APIs,IBM,COURSE,4.2,3.7k,Intermediate
Advanced Data Science Capstone,IBM,COURSE,4.6,5.1k,Advanced
Distributed Computing with Spark SQL,"University of California, Davis",COURSE,4.3,2.4k,Intermediate
Machine Learning: Classification,University of Washington,COURSE,4.7,79k,Mixed
VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign,COURSE,4.8,19k,Intermediate
Developing AI Applications on Azure,LearnQuest,COURSE,4.5,5.7k,Advanced
Introduction to Computer Vision with Watson and OpenCV,IBM,COURSE,4.4,7.2k,Beginner
Introduction to numerical analysis,National Research University Higher School of Economics,COURSE,4.7,7.4k,Intermediate
Machine Learning: Clustering & Retrieval,University of Washington,COURSE,4.6,59k,Mixed
Big Data Integration and Processing,University of California San Diego,COURSE,4.4,34k,Beginner
Data Manipulation at Scale: Systems and Algorithms,University of Washington,COURSE,4.3,51k,Mixed
Introduction to Graph Theory,National Research University Higher School of Economics,COURSE,4.6,19k,Beginner
Practical Reinforcement Learning,National Research University Higher School of Economics,COURSE,4.1,26k,Advanced
Art and Science of Machine Learning,Google Cloud,COURSE,4.6,9.4k,Intermediate
Materials Data Sciences and Informatics,Georgia Institute of Technology,COURSE,4.3,6.2k,Intermediate
Combinatorics and Probability,National Research University Higher School of Economics,COURSE,4.6,17k,Beginner
Поиск структуры в данных,Yandex,COURSE,4.7,16k,Intermediate
Matrix Methods,University of Minnesota,COURSE,4.1,1.7k,Intermediate
Number Theory and Cryptography,National Research University Higher School of Economics,COURSE,4.6,13k,Beginner
"Разработка веб-сервисов на Golang, часть 2",ФРОО,COURSE,4.9,6k,Intermediate
機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations,National Taiwan University,COURSE,4.9,7.9k,Intermediate
Big Data: adquisición y almacenamiento de datos,Universitat Autònoma de Barcelona,COURSE,4.3,2.7k,Intermediate
Genome Sequencing (Bioinformatics II),University of California San Diego,COURSE,4.7,14k,Beginner
AI Workflow: Data Analysis and Hypothesis Testing,IBM,COURSE,None,None,None
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,COURSE,None,None,None
Algorithms on Strings,National Research University Higher School of Economics,COURSE,4.5,39k,Intermediate
Project: Basic Image Classification with TensorFlow,Rhyme,NEW,None,None,None
Прикладные задачи анализа данных,Yandex,COURSE,4.4,13k,Intermediate
Detección de objetos,Universitat Autònoma de Barcelona,COURSE,4.6,20k,Mixed
AI Workflow: Feature Engineering and Bias Detection,IBM,COURSE,None,None,None
Google Cloud Platform Big Data and Machine Learning Fundamentals en Español,Google Cloud,COURSE,4.6,8.2k,Intermediate
البرمجة للجميع - بدء استخدام بايثون,University of Michigan,COURSE,None,None,None
"AI Workflow: Machine Learning, Visual Recognition and NLP",IBM,COURSE,None,None,None
Project: Predicting House Prices with Regression using TensorFlow,Rhyme,NEW,None,None,None
Delivery Problem,University of California San Diego,COURSE,4.7,6k,Beginner
Interfacing with the Raspberry Pi,"University of California, Irvine",COURSE,4.6,48k,Mixed
Pattern Discovery in Data Mining,University of Illinois at Urbana-Champaign,COURSE,4.2,26k,Mixed
AI Workflow: Enterprise Model Deployment,IBM,COURSE,None,None,None
"Comparing Genes, Proteins, and Genomes (Bioinformatics III)",University of California San Diego,COURSE,4.7,9.3k,Beginner
AI Workflow: AI in Production,IBM,COURSE,None,None,None
Machine Learning for Data Analysis,Wesleyan University,COURSE,4.2,35k,Mixed
Design Thinking and Predictive Analytics for Data Products,University of California San Diego,COURSE,4.4,2.3k,Intermediate
Google Cloud Platform Big Data and Machine Learning Fundamentals 日本語版,Google Cloud,COURSE,4.5,1.8k,Intermediate
Building R Packages,Johns Hopkins University,COURSE,4.1,7.1k,Intermediate
Principles of Computing (Part 2),Rice University,COURSE,4.8,11k,Mixed
Project: Predict Sales Revenue with scikit-learn,Rhyme,NEW,None,None,None
Project: Facial Expression Recognition with Keras,Rhyme,NEW,None,None,None
Clasificación de imágenes: ¿cómo reconocer el contenido de una imagen?,Universitat Autònoma de Barcelona,COURSE,4.4,11k,Mixed
Big Data - Capstone Project,University of California San Diego,COURSE,4.5,3.1k,Mixed
Algorithmic Thinking (Part 2),Rice University,COURSE,4.7,15k,Intermediate
Deploying Machine Learning Models,University of California San Diego,COURSE,3.8,2.2k,Mixed
How Google does Machine Learning en Español,Google Cloud,COURSE,None,None,None
Communicating Data Science Results,University of Washington,COURSE,3.6,13k,Mixed
Cloud Networking,University of Illinois at Urbana-Champaign,COURSE,4.5,24k,Mixed
Intro to TensorFlow en Español,Google Cloud,COURSE,None,None,None
Regression Modeling in Practice,Wesleyan University,COURSE,4.4,28k,Mixed
Finding Mutations in DNA and Proteins (Bioinformatics VI),University of California San Diego,COURSE,4.6,7k,Beginner
Анализ данных: финальный проект,Yandex,COURSE,4.7,1.9k,Advanced
Programming for the Internet of Things Project,"University of California, Irvine",COURSE,4.7,5.1k,Mixed
Razonamiento artificial,Universidad Nacional Autónoma de México,COURSE,4.4,1.5k,Intermediate
الشبكات العصبية والتعلم العميق,deeplearning.ai,COURSE,None,None,None
Meaningful Predictive Modeling,University of California San Diego,COURSE,4.3,1.5k,Intermediate
Internet of Things: Multimedia Technologies,University of California San Diego,COURSE,4.4,13k,Mixed
Robotics: Capstone,University of Pennsylvania,COURSE,None,None,None
Data Analytics Foundations for Accountancy II,University of Illinois at Urbana-Champaign,COURSE,None,None,None
Project: Neural Style Transfer with TensorFlow,Rhyme,NEW,None,None,None
Data Analysis and Interpretation Capstone,Wesleyan University,COURSE,None,None,None
The Fundamentals of Computing Capstone Exam,Rice University,COURSE,None,None,None
Data Science at Scale - Capstone Project,University of Washington,COURSE,None,None,None
Maestría en Ingeniería de Software,la Universidad de los Andes,DEGREE,None,None,None
C for Everyone: Structured Programming,"University of California, Santa Cruz",COURSE,4.8,2.8k,Intermediate
Introduction To Swift Programming,University of Toronto,COURSE,3.9,59k,Mixed
Project: Principal Component Analysis with NumPy,Rhyme,NEW,None,None,None
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,250k,Intermediate
Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.7,300k,Beginner
Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,SPECIALIZATION,4.5,27k,Intermediate
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,100k,Intermediate
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,6.7k,Beginner
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,170k,Intermediate
Getting Started with Go,"University of California, Irvine",COURSE,4.6,14k,Intermediate
Разработка веб-сервисов на Go - основы языка,ФРОО,COURSE,4.8,22k,Intermediate
Prediction and Control with Function Approximation,Alberta Machine Intelligence Institute,COURSE,4.8,3.9k,Intermediate
Getting Started With Application Development,Google Cloud,COURSE,4.5,13k,Intermediate
State Estimation and Localization for Self-Driving Cars,University of Toronto,COURSE,4.7,8.5k,Advanced
Big Data Analysis with Scala and Spark,École Polytechnique Fédérale de Lausanne,COURSE,4.7,71k,Mixed
Functional Program Design in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.5,49k,Intermediate
Managing Security in Google Cloud Platform,Google Cloud,COURSE,4.7,11k,Intermediate
Motion Planning for Self-Driving Cars,University of Toronto,COURSE,4.8,5.4k,Advanced
Visualization for Data Journalism,University of Illinois at Urbana-Champaign,COURSE,None,None,None
Visual Perception for Self-Driving Cars,University of Toronto,COURSE,4.6,6.9k,Advanced
Securing and Integrating Components of your Application,Google Cloud,COURSE,4.6,7.8k,Intermediate
Mitigating Security Vulnerabilities on Google Cloud Platform,Google Cloud,COURSE,4.7,4.3k,Intermediate
"App Deployment, Debugging, and Performance",Google Cloud,COURSE,4.6,8.2k,Intermediate
Parallel programming,École Polytechnique Fédérale de Lausanne,COURSE,4.4,48k,Intermediate
Introduction to advanced tomography,Technical University of Denmark (DTU),COURSE,None,None,None
Production Machine Learning Systems,Google Cloud,COURSE,4.6,6.8k,Advanced
Project: Deploy Models with TensorFlow Serving and Flask,Rhyme,NEW,None,None,None
Sequence Models for Time Series and Natural Language Processing,Google Cloud,COURSE,4.4,5k,Advanced
Project: Predictive Modelling with Azure Machine Learning Studio,Rhyme,NEW,None,None,None
"Modern Robotics, Course 2:  Robot Kinematics",Northwestern University,COURSE,4.9,4.6k,Intermediate
Image Understanding with TensorFlow on GCP,Google Cloud,COURSE,4.6,4.6k,Advanced
"Modern Robotics, Course 3:  Robot Dynamics",Northwestern University,COURSE,4.8,3.4k,Intermediate
VLSI CAD Part II: Layout,University of Illinois at Urbana-Champaign,COURSE,4.7,8.2k,Intermediate
Data for Machine Learning,Alberta Machine Intelligence Institute,COURSE,None,None,None
Optimizing Machine Learning Performance,Alberta Machine Intelligence Institute,COURSE,None,None,None
"Probability Theory, Statistics and Exploratory Data Analysis",National Research University Higher School of Economics,COURSE,4,1.6k,Mixed
"Modern Robotics, Course 4:  Robot Motion Planning and Control",Northwestern University,COURSE,4.9,3.5k,Intermediate
Project: Siamese Network with Triplet Loss in Keras,Rhyme,NEW,None,None,None
